CustomerID,Name,Region,JoinDate,LoyaltyPoints,CustomerSegment
1001,William White,East,11/11/2021,1500,Premium
1002,Wylie Coyote,East,2/14/2023,200,New
1003,Dan Brown,West,10/19/2023,50,New
1004,Chewbacca,West,11/9/2022,800,Regular
1005,Dr Who,North,8/18/2023,300,Regular
1006,Tiffany James,South,6/7/2021,1200,Premium
1007,Susan Johnson,South,6/30/2023,150,New
1008,Tony Stark,North,5/1/2020,2000,Premium
1009,Jason Bourne,West,12/1/2020,1000,Regular
1010,Hermione Granger,East,12/9/2022,600,Regular
1011,Hermione Grager,East,12/9/2022,550,Regular
